y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4791800823019653e+03
1.8824717398890912e-06,2.7844884942124747e-03,0.0000000000000000e+00,2.0941780214020161e-07,4.2990186582872734e-17,8.5980373165745467e-13,1.8824717398890912e-06,1.4791522370735456e+03
7.5298160855497016e-06,1.1137534642191320e-02,0.0000000000000000e+00,8.3766275429069973e-07,1.1005043334218383e-14,2.2010086668436764e-10,7.5298160855497016e-06,1.4790687009947649e+03
1.6941820417659680e-05,2.5057880466965984e-02,0.0000000000000000e+00,1.8847040007859687e-06,2.8202492064549791e-13,5.6404984129099580e-09,1.6941820417659680e-05,1.4789294606065466e+03
3.0118130379575004e-05,4.4543429092507955e-02,0.0000000000000000e+00,3.3504736354731671e-06,2.8166922263938925e-12,5.6333844527877845e-08,3.0118130379575004e-05,1.4787344282929530e+03
4.7058249890685749e-05,6.9591242323733149e-02,0.0000000000000000e+00,5.2348474813599230e-06,1.6785322117172572e-11,3.3570644234345142e-07,4.7058249890685749e-05,1.4784832549211221e+03
6.7761541165045627e-05,1.0019753004682415e-01,0.0000000000000000e+00,7.5376265138971887e-06,7.2152144188848282e-11,1.4430428837769655e-06,6.7761541165045627e-05,1.4781748891705056e+03
9.2227224735463864e-05,1.3635761699378132e-01,0.0000000000000000e+00,1.0258522705171590e-05,2.4753907126762094e-10,4.9507814253524182e-06,9.2227224735463864e-05,1.4778067063951769e+03
1.2045437948275950e-04,1.7806585800220359e-01,0.0000000000000000e+00,1.3397150635401387e-05,7.2001469751197816e-10,1.4400293950239562e-05,1.2045437948275950e-04,1.4773729816057448e+03
1.5244194267052260e-04,2.2531545092132149e-01,0.0000000000000000e+00,1.6953024040197698e-05,1.8461048238275200e-09,3.6922096476550398e-05,1.5244194267052260e-04,1.4768624354833751e+03
1.8818870998508209e-04,2.7809806529643100e-01,0.0000000000000000e+00,2.0925555261711895e-05,4.2848336563657610e-09,8.5696673127315213e-05,1.8818870998508209e-04,1.4762545413513021e+03
