y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4707332466334333e+02
1.8824717398890912e-06,6.5334957572811526e-04,0.0000000000000000e+00,9.0563126648810319e-08,2.9366393337750910e-18,7.3415983344377268e-14,1.8824717398890912e-06,3.4706679110445924e+02
7.5298160855497016e-06,2.6132999108478042e-03,0.0000000000000000e+00,3.6224896557307344e-07,7.5175027372415898e-16,1.8793756843103972e-11,7.5298160855497016e-06,3.4704719064490342e+02
1.6941820417659680e-05,5.8795558432677602e-03,0.0000000000000000e+00,8.1504559008697517e-07,1.9265158099886663e-14,4.8162895249716655e-10,1.6941820417659680e-05,3.4701452368994586e+02
3.0118130379575004e-05,1.0451625476376914e-02,0.0000000000000000e+00,1.4489290235382377e-06,1.9241253867952551e-13,4.8103134669881370e-09,3.0118130379575004e-05,3.4696878960890865e+02
4.7058249890685749e-05,1.6328820198310248e-02,0.0000000000000000e+00,2.2638578845968395e-06,1.1466777898992586e-12,2.8666944747481463e-08,4.7058249890685749e-05,3.4690998298042433e+02
6.7761541165045627e-05,2.3510254564359769e-02,0.0000000000000000e+00,3.2597672540128975e-06,4.9293617870676767e-12,1.2323404467669190e-07,6.7761541165045627e-05,3.4683808475895307e+02
9.2227224735463864e-05,3.1994845752760653e-02,0.0000000000000000e+00,4.4365626873227321e-06,1.6913356912183768e-11,4.2283392280459418e-07,9.2227224735463864e-05,3.4675304480433851e+02
1.2045437948275950e-04,4.1781312014618432e-02,0.0000000000000000e+00,5.7941151097460961e-06,4.9202794291471583e-11,1.2300698572867894e-06,1.2045437948275950e-04,3.4665475123447220e+02
1.5244194267052260e-04,5.2868169096945847e-02,0.0000000000000000e+00,7.3322570224053097e-06,1.2617933283478685e-10,3.1544833208696708e-06,1.5244194267052260e-04,3.4654298111070716e+02
1.8818870998508209e-04,6.5253722991631277e-02,0.0000000000000000e+00,9.0507801207019850e-06,2.9293750644338010e-10,7.3234376610845019e-06,1.8818870998508209e-04,3.4641732606015432e+02
