# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.0144421258808951e-03 8.8411369610657698e-03
0002 1.0127553288764393e-03 6.5603305901777206e-03
0003 1.0110689471031482e-03 4.7345423725644433e-03
0004 1.0093832412878063e-03 3.2751021142025574e-03
0005 1.0076985631934539e-03 2.1119019375355746e-03
0006 1.0060152463794217e-03 1.1939687370982309e-03
0007 1.0043335826238375e-03 5.1549823722687126e-04
0008 1.0026538221622801e-03 3.8738135959962428e-04
0009 1.0009761796031596e-03 7.6000198201893248e-04
0010 9.9930083880031420e-04 1.1191337323030806e-03
