# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 3.0110984794724593e-04 9.9066486445895430e-01
0002 3.0100865675088367e-04 8.2814145466095446e-01
0003 3.0130250264498708e-04 6.8628880711872853e-01
0004 3.0165632324323678e-04 5.6718052797945151e-01
0005 3.0195327183222918e-04 4.6950369810673398e-01
0006 3.0216614892811423e-04 3.9037422611892403e-01
0007 3.0230145226173982e-04 3.2655685390991079e-01
0008 3.0237567477950437e-04 2.7507966448709142e-01
0009 3.0240601014083361e-04 2.3344426461159115e-01
0010 3.0240706423777865e-04 1.9963746967340334e-01
0011 3.0239016493094931e-04 1.7206280925522019e-01
0012 3.0236361952185004e-04 1.4945728949105894e-01
0013 3.0233326401286095e-04 1.3081798454240692e-01
0014 3.0230303261565282e-04 1.1534484244260869e-01
0015 3.0227544889619660e-04 1.0239830134418974e-01
0016 3.0225201858183538e-04 9.1467955836918288e-02
0017 3.0223352974870037e-04 8.2148659390165094e-02
0018 3.0222027428182692e-04 7.4121392671362293e-02
0019 3.0221222308437888e-04 6.7136818401231133e-02
0020 3.0220911147458006e-04 6.1003193516708555e-02
0021 3.0221055569332872e-04 5.5572587932940752e-02
0022 3.0221609706526946e-04 5.0731899110223334e-02
0023 3.0222524229164539e-04 4.6394609685019531e-02
0024 3.0223749087475291e-04 4.2494123293021303e-02
0025 3.0225235313155897e-04 3.8978517178266982e-02
0026 3.0226935990114575e-04 3.5806721805028453e-02
0027 3.0228807371947974e-04 3.2945037910236008e-02
0028 3.0230808885519322e-04 3.0365333837569806e-02
0029 3.0232903418352596e-04 2.8043306944913918e-02
0030 3.0235057307506012e-04 2.5957391724475819e-02
0031 3.0237240223077784e-04 2.4088043081394703e-02
0032 3.0239425085888878e-04 2.2417150341086059e-02
0033 3.0241587813718363e-04 2.0927819170667789e-02
0034 3.0243707255786788e-04 1.9603927106833643e-02
0035 3.0245764170983664e-04 1.8431099819395790e-02
0036 3.0247742528143019e-04 1.7394712172926947e-02
0037 3.0249627997314799e-04 1.6481512590047386e-02
0038 3.0251408149794217e-04 1.5679085362076878e-02
0039 3.0253072282475818e-04 1.4975830670850716e-02
0040 3.0254611210118830e-04 1.4360998651422548e-02
0041 3.0256017119050714e-04 1.3824661335673179e-02
0042 3.0257283428214573e-04 1.3357708975386807e-02
0043 3.0258404688389369e-04 1.2951690326597522e-02
0044 3.0259375974570069e-04 1.2599562458144893e-02
0045 3.0260193785516852e-04 1.2294235414980217e-02
0046 3.0260855176407990e-04 1.2029612099819646e-02
0047 3.0261357869861320e-04 1.1800264173238921e-02
0048 3.0261700182965181e-04 1.1601386965136155e-02
0049 3.0261880955170290e-04 1.1428777780867783e-02
0050 3.0261899561753269e-04 1.1278689489805368e-02
0051 3.0261755816632141e-04 1.1147855483239684e-02
0052 3.0261449936584754e-04 1.1033442585544806e-02
0053 3.0260982527020224e-04 1.0932981553009537e-02
0054 3.0260354538863733e-04 1.0844318241317617e-02
0055 3.0259567192893953e-04 1.0765692469882579e-02
0056 3.0258622083751698e-04 1.0695477901482613e-02
0057 3.0257521041292073e-04 1.0632337310734869e-02
0058 3.0256266146136553e-04 1.0575140113657113e-02
0059 3.0254859719197434e-04 1.0522925616832678e-02
0060 3.0253304306407077e-04 1.0474871510799184e-02
0061 3.0251602650152365e-04 1.0430305739040305e-02
0062 3.0249757696905374e-04 1.0388639896355929e-02
0063 3.0247772558961655e-04 1.0349403753495441e-02
0064 3.0245650529567904e-04 1.0312188466402633e-02
0065 3.0243395038787014e-04 1.0276630948345423e-02
0066 3.0241009618532330e-04 1.0242558517808528e-02
0067 3.0238498023944685e-04 1.0209620120847841e-02
0068 3.0235864016655840e-04 1.0177721821765779e-02
0069 3.0233111540763845e-04 1.0146673256235963e-02
0070 3.0230244660591231e-04 1.0116322045706321e-02
0071 3.0227267499465861e-04 1.0086408079918443e-02
0072 3.0224184039610803e-04 1.0057139750669403e-02
0073 3.0220998507140390e-04 1.0028512949347024e-02
0074 3.0217715324669023e-04 1.0000172537477862e-02
0075 3.0214338765640779e-04 9.9721763728305348e-03
0076 3.0210873200163833e-04 9.9444248054647976e-03
0077 3.0207322970272486e-04 9.9169316468766464e-03
0078 3.0203692449786004e-04 9.8896695098848759e-03
0079 3.0199986013685519e-04 9.8626240640817750e-03
