# step du_rel dp_rel
# u_rtol 2.9999999999999997e-04
# p_rtol 2.0000000000000000e-03
0001 2.2732733618941961e-04 8.1297170158435485e-03
0002 2.2732416675219936e-04 7.2594207557053186e-03
0003 2.2732107593918490e-04 6.4941747244551089e-03
0004 2.2731805026552474e-04 5.8200467466188108e-03
0005 2.2731507872040521e-04 5.2252560274557722e-03
0006 2.2731215229881028e-04 4.6998217497525845e-03
0007 2.2730926362433647e-04 4.2352701400623959e-03
0008 2.2730640665435150e-04 3.8243910773628122e-03
0009 2.2730357641818935e-04 3.4610294833074388e-03
0010 2.2730076881031136e-04 3.1399138748084733e-03
0011 2.2729798046585369e-04 2.8565163008642870e-03
0012 2.2729520859252750e-04 2.6069196860873836e-03
0013 2.2729245088092605e-04 2.3877132358779258e-03
0014 2.2728970540207783e-04 2.1958972709651987e-03
0015 2.2728697055949377e-04 2.0288055941991238e-03
0016 2.2728424499507936e-04 1.8840301581682195e-03
