# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 2.2360580005948287e-04 1.9064023598660797e-02
0002 2.2360141106104171e-04 1.7448520392367373e-02
0003 2.2359724136890795e-04 1.5937843681283901e-02
0004 2.2359320095864354e-04 1.4531805352710907e-02
0005 2.2358923784757917e-04 1.3228269544501915e-02
0006 2.2358532251641735e-04 1.2023772651055231e-02
0007 2.2358143859849795e-04 1.0913979717979989e-02
0008 2.2357757735478185e-04 9.8940132384784073e-03
0009 2.2357373437518517e-04 8.9586989900128870e-03
0010 2.2356990765220642e-04 8.1027391374736361e-03
0011 2.2356609644446891e-04 7.3208418712973570e-03
0012 2.2356230062762814e-04 6.6078104307125893e-03
0013 2.2355852033265975e-04 5.9586068192631972e-03
0014 2.2355475575050801e-04 5.3683950828643072e-03
0015 2.2355100702851560e-04 4.8325708735150836e-03
0016 2.2354727423274401e-04 4.3467766499718690e-03
0017 2.2354355733184486e-04 3.9069114870788329e-03
0018 2.2353985620254135e-04 3.5091327898200161e-03
0019 2.2353617064234794e-04 3.1498547588680223e-03
0020 2.2353250037931521e-04 2.8257433422921928e-03
0021 2.2352884509064554e-04 2.5337070169824676e-03
0022 2.2352520441537598e-04 2.2708881721996295e-03
0023 2.2352157796214607e-04 2.0346526485410512e-03
0024 2.2351796532783721e-04 1.8225770399943077e-03
0025 2.2351436609371523e-04 1.6324388843235800e-03
0026 2.2351077984426439e-04 1.4622029471355995e-03
0027 2.2350720616175673e-04 1.3100110801602897e-03
0028 2.2350364463562898e-04 1.1741683836625784e-03
0029 2.2350009486713727e-04 1.0531322674908520e-03
0030 2.2349655646707332e-04 9.4550246404947417e-04
0031 2.2349302905825378e-04 8.5000847449206497e-04
0032 2.2348951227661631e-04 7.6549836957476042e-04
0033 2.2348600577380299e-04 6.9092759251789611e-04
0034 2.2348250921511617e-04 6.2534924870650470e-04
0035 2.2347902227882831e-04 5.6790227181095895e-04
0036 2.2347554465711910e-04 5.1780076217946116e-04
0037 2.2347207605868003e-04 4.7432357767158691e-04
0038 2.2346861620073366e-04 4.3680613444425264e-04
0039 2.2346516481746537e-04 4.0462921174369229e-04
0040 2.2346172165108323e-04 3.7721542153402635e-04
0041 2.2345828645827147e-04 3.5402146087308600e-04
0042 2.2345485900383309e-04 3.3453810971450658e-04
0043 2.2345143906404234e-04 3.1828830445626701e-04
0044 2.2344802642795944e-04 3.0482946958926640e-04
0045 2.2344462088970279e-04 2.9375660722988985e-04
0046 2.2344122225163276e-04 2.8470273384831394e-04
0047 2.2343783032908776e-04 2.7734054630243363e-04
0048 2.2343444494129448e-04 2.7138405685960535e-04
0049 2.2343106591407954e-04 2.6658597244096273e-04
0050 2.2342769308475441e-04 2.6273549689543029e-04
0051 2.2342432629234591e-04 2.5965605598058804e-04
0052 2.2342096538431201e-04 2.5720047056036299e-04
0053 2.2341761021306482e-04 2.5524760379738731e-04
0054 2.2341426063857234e-04 2.5369845732176071e-04
0055 2.2341091652287019e-04 2.5247293171692275e-04
0056 2.2340757773446924e-04 2.5150608754801981e-04
0057 2.2340424414722717e-04 2.5074575340538514e-04
0058 2.2340091563851649e-04 2.5015022084218610e-04
0059 2.2339759208919580e-04 2.4968617085607771e-04
0060 2.2339427338538038e-04 2.4932689408271993e-04
0061 2.2339095941650492e-04 2.4905121544605853e-04
0062 2.2338765007394871e-04 2.4884230411360099e-04
0063 2.2338434525623024e-04 2.4868662043865702e-04
0064 2.2338104486196254e-04 2.4857359194073062e-04
0065 2.2337774879464361e-04 2.4849479962286508e-04
0066 2.2337445695754502e-04 2.4844360751369098e-04
0067 2.2337116926127276e-04 2.4841446711315872e-04
0068 2.2336788561670649e-04 2.4840324835663600e-04
0069 2.2336460593662104e-04 2.4840659189273703e-04
0070 2.2336133013751625e-04 2.4842176167738129e-04
0071 2.2335805813906377e-04 2.4844660104429407e-04
0072 2.2335478986046026e-04 2.4847950324711658e-04
0073 2.2335152522503073e-04 2.4851897008374265e-04
0074 2.2334826415942286e-04 2.4856390681998817e-04
0075 2.2334500658800543e-04 2.4861353701166735e-04
0076 2.2334175244264078e-04 2.4866698919823264e-04
0077 2.2333850165344370e-04 2.4872383437245878e-04
0078 2.2333525415226086e-04 2.4878356665048303e-04
0079 2.2333200987412693e-04 2.4884576656847523e-04
0080 2.2332876875507540e-04 2.4891011586929140e-04
0081 2.2332553073308958e-04 2.4897632848261782e-04
0082 2.2332229574871409e-04 2.4904418974038543e-04
0083 2.2331906374050510e-04 2.4911362982122347e-04
0084 2.2331583465136549e-04 2.4918435710914104e-04
0085 2.2331260842661012e-04 2.4925619824758003e-04
0086 2.2330938500840535e-04 2.4932914692624462e-04
0087 2.2330616434574482e-04 2.4940294378405381e-04
0088 2.2330294638445568e-04 2.4947758661462982e-04
0089 2.2329973107603298e-04 2.4955293310558938e-04
0090 2.2329651836731383e-04 2.4962904616437307e-04
0091 2.2329330821094269e-04 2.4970571878687938e-04
0092 2.2329010055857024e-04 2.4978292292744084e-04
0093 2.2328689536384795e-04 2.4986055681085992e-04
0094 2.2328369258087065e-04 2.4993856784788905e-04
0095 2.2328049216496898e-04 2.5001688443900076e-04
0096 2.2327729407203690e-04 2.5009546010113198e-04
0097 2.2327409826057752e-04 2.5017419786458895e-04
0098 2.2327090468690346e-04 2.5025316716740099e-04
0099 2.2326771331036596e-04 2.5033222039071981e-04
0100 2.2326452409033193e-04 2.5041131485030097e-04
0101 2.2326133698980075e-04 2.5049029327265981e-04
0102 2.2325815196708231e-04 2.5056937943977666e-04
0103 2.2325496898485672e-04 2.5064835792589218e-04
0104 2.2325178800712984e-04 2.5072714876370975e-04
0105 2.2324860899687675e-04 2.5080581386972828e-04
0106 2.2324543191769918e-04 2.5088430549429468e-04
0107 2.2324225673503483e-04 2.5096254368054012e-04
0108 2.2323908341419517e-04 2.5104052840626781e-04
0109 2.2323591192115652e-04 2.5111821492609720e-04
0110 2.2323274222340431e-04 2.5119556546512515e-04
0111 2.2322957428717562e-04 2.5127260460862914e-04
0112 2.2322640808074027e-04 2.5134923582611276e-04
0113 2.2322324357294037e-04 2.5142539799930273e-04
0114 2.2322008073399403e-04 2.5150113688408269e-04
0115 2.2321691953079381e-04 2.5157656115065393e-04
0116 2.2321375993532194e-04 2.5165147056437044e-04
0117 2.2321060191741896e-04 2.5172591243485825e-04
0118 2.2320744544827783e-04 2.5179985006878395e-04
0119 2.2320429049975339e-04 2.5187328953706620e-04
0120 2.2320113704421278e-04 2.5194611317146153e-04
0121 2.2319798505239115e-04 2.5201843375774810e-04
0122 2.2319483450096474e-04 2.5209007392672933e-04
0123 2.2319168535930178e-04 2.5216131994735863e-04
0124 2.2318853760395089e-04 2.5223188956261005e-04
0125 2.2318539120913530e-04 2.5230187414635602e-04
0126 2.2318224614838343e-04 2.5237134992145730e-04
0127 2.2317910239760342e-04 2.5244019172014501e-04
0128 2.2317595993269948e-04 2.5250841075155742e-04
0129 2.2317281872995847e-04 2.5257602543558248e-04
0130 2.2316967876359151e-04 2.5264307525755365e-04
0131 2.2316654001440381e-04 2.5270933338558313e-04
0132 2.2316340245763478e-04 2.5277506958611785e-04
0133 2.2316026606985790e-04 2.5284025327890653e-04
0134 2.2315713083135519e-04 2.5290470415117793e-04
0135 2.2315399671938443e-04 2.5296856799346575e-04
0136 2.2315086371299520e-04 2.5303180004119776e-04
0137 2.2314773179196731e-04 2.5309438298319403e-04
0138 2.2314460093474263e-04 2.5315636614013447e-04
0139 2.2314147112415382e-04 2.5321759400096915e-04
0140 2.2313834233674164e-04 2.5327835345372355e-04
0141 2.2313521455812849e-04 2.5333831838566677e-04
0142 2.2313208776379928e-04 2.5339788250741099e-04
0143 2.2312896194040007e-04 2.5345660550862571e-04
0144 2.2312583706802342e-04 2.5351481910283269e-04
0145 2.2312271312683747e-04 2.5357250758083048e-04
0146 2.2311959010196090e-04 2.5362939788721136e-04
0147 2.2311646797694881e-04 2.5368560922623410e-04
0148 2.2311334673420143e-04 2.5374133032016720e-04
0149 2.2311022635704148e-04 2.5379648619935371e-04
0150 2.2310710682935979e-04 2.5385105466688607e-04
0151 2.2310398813671025e-04 2.5390498165219844e-04
0152 2.2310087026380639e-04 2.5395835681690809e-04
0153 2.2309775319425277e-04 2.5401118291928573e-04
0154 2.2309463691488706e-04 2.5406337168681740e-04
0155 2.2309152141086470e-04 2.5411497506534167e-04
0156 2.2308840666847190e-04 2.5416600521972266e-04
0157 2.2308529267449852e-04 2.5421647797796036e-04
0158 2.2308217941445816e-04 2.5426645039940983e-04
0159 2.2307906687626513e-04 2.5431581679334603e-04
0160 2.2307595504822108e-04 2.5436459662369769e-04
0161 2.2307284391477909e-04 2.5441297348571557e-04
0162 2.2306973346820702e-04 2.5446064974154483e-04
0163 2.2306662369327661e-04 2.5450795967016935e-04
0164 2.2306351457977559e-04 2.5455472565601969e-04
0165 2.2306040611601522e-04 2.5460098573607985e-04
0166 2.2305729829052561e-04 2.5464674685217101e-04
0167 2.2305419109490421e-04 2.5469187014788715e-04
0168 2.2305108451650834e-04 2.5473663995269054e-04
0169 2.2304797854505055e-04 2.5478095169457744e-04
0170 2.2304487317196801e-04 2.5482474520759448e-04
0171 2.2304176838644496e-04 2.5486811889922488e-04
0172 2.2303866417868398e-04 2.5491103492242582e-04
0173 2.2303556053987838e-04 2.5495343131804040e-04
0174 2.2303245746152674e-04 2.5499533172765754e-04
0175 2.2302935493465753e-04 2.5503683901060143e-04
0176 2.2302625294895139e-04 2.5507800863656130e-04
0177 2.2302315149798382e-04 2.5511865151732737e-04
0178 2.2302005057198561e-04 2.5515892976523015e-04
0179 2.2301695016460057e-04 2.5519876663823758e-04
0180 2.2301385026516664e-04 2.5523831595576754e-04
0181 2.2301075086818997e-04 2.5527739035620167e-04
0182 2.2300765196551332e-04 2.5531604330754592e-04
0183 2.2300455354850926e-04 2.5535436664970979e-04
0184 2.2300145561222369e-04 2.5539225586981065e-04
0185 2.2299835814669594e-04 2.5542989373725477e-04
0186 2.2299526114654173e-04 2.5546706735513265e-04
0187 2.2299216460442035e-04 2.5550387204347440e-04
0188 2.2298906851391548e-04 2.5554032550151751e-04
0189 2.2298597286842469e-04 2.5557643820148100e-04
0190 2.2298287765997666e-04 2.5561228645818752e-04
0191 2.2297978288388011e-04 2.5564774645197116e-04
0192 2.2297668853259444e-04 2.5568291128724729e-04
0193 2.2297359460053028e-04 2.5571775415863049e-04
0194 2.2297050108141013e-04 2.5575230425664428e-04
0195 2.2296740796789641e-04 2.5578660499178148e-04
0196 2.2296431525582806e-04 2.5582050953068975e-04
0197 2.2296122293819959e-04 2.5585418443389071e-04
0198 2.2295813100921592e-04 2.5588758384789597e-04
0199 2.2295503946310132e-04 2.5592072392879075e-04
0200 2.2295194829367789e-04 2.5595359358510268e-04
0201 2.2294885749602874e-04 2.5598614500868283e-04
0202 2.2294576706425353e-04 2.5601843842724910e-04
0203 2.2294267699158099e-04 2.5605051801356175e-04
0204 2.2293958727472371e-04 2.5608221454114324e-04
0205 2.2293649790608764e-04 2.5611377922239590e-04
0206 2.2293340888108047e-04 2.5614505491986417e-04
0207 2.2293032019487564e-04 2.5617608419971474e-04
0208 2.2292723184043692e-04 2.5620697108997415e-04
0209 2.2292414381388590e-04 2.5623759894068566e-04
0210 2.2292105610868931e-04 2.5626799384331040e-04
0211 2.2291796872095956e-04 2.5629812082518912e-04
0212 2.2291488164376404e-04 2.5632811803026303e-04
0213 2.2291179487392231e-04 2.5635784200085356e-04
0214 2.2290870840338230e-04 2.5638752421463211e-04
0215 2.2290562222933186e-04 2.5641685280921998e-04
0216 2.2290253634577652e-04 2.5644601366494403e-04
0217 2.2289945074618011e-04 2.5647502482457462e-04
0218 2.2289636542892753e-04 2.5650365746469542e-04
0219 2.2289328038591798e-04 2.5653230908120845e-04
0220 2.2289019561279579e-04 2.5656080846088149e-04
0221 2.2288711110389636e-04 2.5658916786018560e-04
0222 2.2288402685544554e-04 2.5661725857931389e-04
0223 2.2288094286081935e-04 2.5664516513734125e-04
0224 2.2287785911660922e-04 2.5667280926843622e-04
0225 2.2287477561803775e-04 2.5670029973253909e-04
0226 2.2287169235812689e-04 2.5672780437612040e-04
0227 2.2286860933400871e-04 2.5675506666904914e-04
0228 2.2286552653847860e-04 2.5678226421697398e-04
0229 2.2286244396983260e-04 2.5680917833940161e-04
0230 2.2285936161944929e-04 2.5683612787836039e-04
0231 2.2285627948583233e-04 2.5686276977594232e-04
0232 2.2285319756189584e-04 2.5688939230640307e-04
0233 2.2285011584327209e-04 2.5691578803907413e-04
0234 2.2284703432686769e-04 2.5694196667066550e-04
0235 2.2284395300588197e-04 2.5696811156679670e-04
0236 2.2284087187729432e-04 2.5699407501791996e-04
0237 2.2283779093451076e-04 2.5702002885317289e-04
0238 2.2283471017508946e-04 2.5704574634875603e-04
0239 2.2283162959211216e-04 2.5707144738636102e-04
0240 2.2282854918340256e-04 2.5709690593901831e-04
0241 2.2282546894277381e-04 2.5712232977769640e-04
0242 2.2282238886662324e-04 2.5714762922485435e-04
0243 2.2281930894969726e-04 2.5717283485783066e-04
0244 2.2281622918770026e-04 2.5719787416856829e-04
0245 2.2281314957667712e-04 2.5722271956509451e-04
0246 2.2281007011343005e-04 2.5724739689916246e-04
0247 2.2280699079248162e-04 2.5727212594383941e-04
0248 2.2280391160865465e-04 2.5729678531253517e-04
0249 2.2280083255947567e-04 2.5732126038762316e-04
0250 2.2279775363989100e-04 2.5734563938858561e-04
0251 2.2279467484536368e-04 2.5736989837990884e-04
0252 2.2279159617392215e-04 2.5739392459985899e-04
0253 2.2278851761992429e-04 2.5741796839717416e-04
0254 2.2278543917983055e-04 2.5744193461286205e-04
0255 2.2278236084869891e-04 2.5746582499781015e-04
0256 2.2277928262503892e-04 2.5748946705174278e-04
0257 2.2277620450381378e-04 2.5751309163665135e-04
0258 2.2277312648011434e-04 2.5753668420677679e-04
0259 2.2277004855336015e-04 2.5756005468262474e-04
0260 2.2276697071661272e-04 2.5758351022870567e-04
0261 2.2276389296709738e-04 2.5760678221823768e-04
0262 2.2276081530356347e-04 2.5762978275131672e-04
0263 2.2275773772078124e-04 2.5765280337237620e-04
0264 2.2275466021514243e-04 2.5767577551546263e-04
0265 2.2275158278380956e-04 2.5769861189414229e-04
