# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 6.2227637882862375e-05 4.7136903844584499e-03
0002 6.2226849424670355e-05 4.5182947690171988e-03
0003 6.2226075984413365e-05 4.3214208835615654e-03
0004 6.2225314851843173e-05 4.1248006465908335e-03
0005 6.2224564161834998e-05 3.9298838808653203e-03
0006 6.2223822634950045e-05 3.7378736373766736e-03
0007 6.2223089395209500e-05 3.5497573249709397e-03
0008 6.2222363841869571e-05 3.3663346087163737e-03
0009 6.2221645560909633e-05 3.1882417480787982e-03
0010 6.2220934262263131e-05 3.0159735430954375e-03
0011 6.2220229737542816e-05 2.8499025313808140e-03
0012 6.2219531830217637e-05 2.6902957867384926e-03
0013 6.2218840415998369e-05 2.5373301157315528e-03
0014 6.2218155389189356e-05 2.3911050651536300e-03
0015 6.2217476654042521e-05 2.2516548057737160e-03
0016 6.2216804119238713e-05 2.1189580275763082e-03
0017 6.2216137694168474e-05 1.9929471614848252e-03
0018 6.2215477286890986e-05 1.8735161229609125e-03
0019 6.2214822803415514e-05 1.7605272214949975e-03
0020 6.2214174146832044e-05 1.6538171247958320e-03
0021 6.2213531217591476e-05 1.5532022537368424e-03
0022 6.2212893913742189e-05 1.4584831190986196e-03
0023 6.2212262131221819e-05 1.3694482321124177e-03
0024 6.2211635764132560e-05 1.2858777227041105e-03
0025 6.2211014705558431e-05 1.2075460991585313e-03
0026 6.2210398847830267e-05 1.1342247285770267e-03
0027 6.2209788082764290e-05 1.0656839587234077e-03
0028 6.2209182302435138e-05 1.0016950264795919e-03
0029 6.2208581399076884e-05 9.4203134405159458e-04
