# step du_rel dp_rel
# u_rtol 2.0000000000000001e-04
# p_rtol 1.0000000000000000e-03
0001 3.5655802622976552e-04 8.7372488603826813e-04
0002 3.5637217764532188e-04 8.4573275328759384e-04
0003 3.5618647417192339e-04 8.2015383320601862e-04
0004 3.5600091527894604e-04 7.9675960990395239e-04
0005 3.5581550047205382e-04 7.7534513860655319e-04
0006 3.5563022928445379e-04 7.5572640531354582e-04
0007 3.5544510127047754e-04 7.3773800203283976e-04
0008 3.5526011600082720e-04 7.2123107958930500e-04
0009 3.5507527305923305e-04 7.0607154280985312e-04
0010 3.5489057203997351e-04 6.9213845724684989e-04
0011 3.5470601254621552e-04 6.7932264199772917e-04
0012 3.5452159418876910e-04 6.6752542590073263e-04
0013 3.5433731658533421e-04 6.5665754561979636e-04
0014 3.5415317935992297e-04 6.4663816955396706e-04
0015 3.5396918214257136e-04 6.3739403199860993e-04
0016 3.5378532456909286e-04 6.2885866355469648e-04
0017 3.5360160628099957e-04 6.2097170711806896e-04
0018 3.5341802692543181e-04 6.1367830875058422e-04
0019 3.5323458615512911e-04 6.0692857469670186e-04
0020 3.5305128362845585e-04 6.0067708637590977e-04
0021 3.5286811900938188e-04 5.9488246770058597e-04
0022 3.5268509196749491e-04 5.8950699720173444e-04
0023 3.5250220217801010e-04 5.8451626115901096e-04
0024 3.5231944932170156e-04 5.7987884215274688e-04
0025 3.5213683308495434e-04 5.7556603986588057e-04
0026 3.5195435315965736e-04 5.7155161944561861e-04
0027 3.5177200924319950e-04 5.6781158578213470e-04
0028 3.5158980103835123e-04 5.6432397975012048e-04
0029 3.5140772825325239e-04 5.6106869444050636e-04
0030 3.5122579060127275e-04 5.5802730951635873e-04
0031 3.5104398780093951e-04 5.5518294138698094e-04
0032 3.5086231957582079e-04 5.5252010745085586e-04
0033 3.5068078565445384e-04 5.5002460369983717e-04
0034 3.5049938577015691e-04 5.4768339336801837e-04
0035 3.5031811966099619e-04 5.4548450579771941e-04
0036 3.5013698706956288e-04 5.4341694525716726e-04
0037 3.4995598774292380e-04 5.4147060746109754e-04
0038 3.4977512143247446e-04 5.3963620379541177e-04
0039 3.4959438789379082e-04 5.3790519286950225e-04
0040 3.4941378688648601e-04 5.3626971730707325e-04
0041 3.4923331817411938e-04 5.3472254659265423e-04
0042 3.4905298152406182e-04 5.3325702541924113e-04
0043 3.4887277670732342e-04 5.3186702553628207e-04
0044 3.4869270349848110e-04 5.3054690252239104e-04
0045 3.4851276167551518e-04 5.2929145600573956e-04
0046 3.4833295101970810e-04 5.2809589355867857e-04
0047 3.4815327131550492e-04 5.2695579717536875e-04
0048 3.4797372235042829e-04 5.2586709316386352e-04
0049 3.4779430391493750e-04 5.2482602410589311e-04
0050 3.4761501580231335e-04 5.2382912335193822e-04
0051 3.4743585780856279e-04 5.2287319189177990e-04
0052 3.4725682973233725e-04 5.2195527675719501e-04
0053 3.4707793137477846e-04 5.2107265127397239e-04
0054 3.4689916253946183e-04 5.2022279728880939e-04
0055 3.4672052303227891e-04 5.1940338842385882e-04
0056 3.4654201266138011e-04 5.1861227504461957e-04
0057 3.4636363123703224e-04 5.1784747011335383e-04
0058 3.4618537857158765e-04 5.1710713657435116e-04
0059 3.4600725447934798e-04 5.1638957539279799e-04
0060 3.4582925877655848e-04 5.1569321478067167e-04
0061 3.4565139128124627e-04 5.1501660057466593e-04
0062 3.4547365181324639e-04 5.1435838650647529e-04
0063 3.4529604019402300e-04 5.1371732614002060e-04
0064 3.4511855624669535e-04 5.1309226511849751e-04
0065 3.4494119979592376e-04 5.1248213391185977e-04
0066 3.4476397066787647e-04 5.1188594149414980e-04
0067 3.4458686869014399e-04 5.1130276896870755e-04
0068 3.4440989369168961e-04 5.1073176427941661e-04
0069 3.4423304550282465e-04 5.1017213709047844e-04
0070 3.4405632395514442e-04 5.0962315376384016e-04
